,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0,2089,14,3067,2885,1912,3146,2895,1627,1948,1721,3012,1726,3087,532,1331,3113,1556,2532,328,2874,713,2548,1426,1715,2813,2535,2961,640,1849,1392,3138,2183,3157,2763,1179,2536,1108,2207,2738,2246,2239,921,665,972,1949,1567,811,3165,2835,1743,926,1723,1772,2380,2595,3162,2626,821,2268,1321,1984,1558,2845,3292,2269,1719,3041,1365,1615,1985,1941,692,3184,2656,1695,3175,2552,2534,2033,3128,1003,2581,1326,1503,2279,2809,2695,3216,351,1818,2453,1826,1774,805,870,2564,1685,608,6
1,1,1887,412,923,276,945,266,610,869,2383,928,67,2562,645,1990,3307,341,2252,2935,698,3123,2040,1384,2568,946,3285,392,1058,579,108,2025,2846,592,361,2120,726,1373,471,317,933,918,1280,3311,326,525,2611,2615,670,2283,263,46,1506,2719,505,81,1169,1049,2052,1492,2316,1769,24,2507,997,278,1755,2286,2856,201,1129,916,2118,1714,209,924,595,875,37,49,2102,3016,430,136,936,1140,1271,966,580,48,3031,1525,294,2074,3120,1727,1939,3044,55,1165,476
2,2,1612,1931,2704,2127,1973,2134,783,1812,2436,1396,631,2789,1277,1443,2610,1926,2638,3287,3310,3200,546,682,397,652,2652,51,3203,2612,1449,1233,571,1853,2423,2836,1594,1728,2313,2378,2594,863,1930,1017,3345,541,895,2903,2447,1606,760,2288,2067,2114,1015,639,1837,2601,2084,353,1413,2361,2843,2897,1208,1664,1275,831,2328,1469,3254,2342,3199,119,2046,666,852,1247,2782,2570,2654,1861,1947,2462,198,3278,2977,1241,3091,940,568,1892,3195,2679,1033,1109,111,2451,2390,1647,1472
3,3,961,675,2014,185,1137,1676,734,2603,1251,620,1598,589,76,584,575,1562,1898,2266,813,716,260,1691,925,1176,35,703,2054,2257,524,1045,624,1114,1230,2589,422,1367,919,1071,2203,2068,481,485,1442,1338,128,2189,2245,654,1681,229,1530,2724,641,3003,1478,539,50,2578,1162,1783,184,1328,3148,382,1571,2117,1698,2240,275,2071,2498,1762,22,2780,1410,929,1372,1641,574,941,561,2598,516,102,621,1156,1624,2164,159,601,2041,1329,1741,727,3136,1377,1710,915,806
4,4,2962,1259,2883,1753,2442,64,3086,2002,2866,2599,1133,2401,3262,1094,2018,1609,2854,1441,3020,1991,3303,2409,289,527,1774,2958,2274,1818,3057,956,2809,2659,1712,1019,1130,1526,2915,3128,3248,2534,1615,6,3175,1941,3061,58,2626,2256,2595,1984,1503,2453,1903,1743,811,3250,2322,2496,1826,3264,3216,3263,2564,2349,3205,492,2380,2311,972,2926,2033,2845,2763,297,1567,3106,691,2535,3292,1849,3138,2533,938,2918,1426,2813,1765,713,2924,2532,1556,2738,744,3158,3070,805,3087,821,3157
5,5,2080,2095,1325,2727,2432,2775,3083,2730,2650,1437,2077,89,3226,2769,1068,1671,206,2859,404,750,661,3204,1517,2708,780,1668,381,1982,1026,448,1804,2214,2613,1945,61,1088,2761,2559,2588,850,565,909,2174,1391,1124,795,585,1201,1919,739,1822,3219,2457,2195,2616,935,2140,21,2110,730,563,440,1477,2826,2056,2713,2864,376,2891,1561,1851,2519,1836,436,1248,3196,1217,3040,1847,1021,2375,2705,3166,1041,1420,3182,513,2567,715,765,2058,804,1920,3302,2749,390,1906,2937,1636
6,6,3248,2453,1503,1826,289,1818,2496,2854,2809,1984,1526,2002,2533,3292,1615,2958,2626,3128,972,938,1094,805,2545,821,811,3061,2738,1774,1743,744,4,168,2763,1421,2239,1259,2123,3157,2813,2534,3184,2962,469,2018,2595,1609,2409,2961,1941,1426,3175,1753,2535,713,2274,2532,3087,532,1347,2883,3086,1849,1130,665,2866,1556,58,2442,64,1321,3138,328,1326,2380,1019,2599,527,2659,2536,1133,1441,3262,1627,691,2401,1567,2895,1912,1991,1726,2915,3020,1123,3303,2845,3057,3113,492,1723
7,7,1244,2806,2827,1547,408,47,827,1196,2082,3176,138,2466,1052,562,467,3276,2355,406,1106,2039,282,2777,3092,1610,285,874,3235,1618,68,1986,1276,674,1279,2641,2019,265,2586,882,2087,150,1216,2804,3293,622,2566,104,3325,1417,2096,3126,160,1570,1285,2768,1628,1151,334,288,1076,2060,672,2791,1716,1390,3211,3288,2459,2954,1453,2831,1203,1935,569,1298,2182,840,1485,1645,1796,2573,2107,1527,1182,1352,1707,838,668,1055,2645,1496,1673,1141,1661,1717,3152,2720,2020,765,3047
8,8,1268,268,356,2356,3209,3256,1877,2619,60,1429,1315,2977,2504,2388,244,2868,2288,2361,1606,1513,161,2451,211,1594,1312,1490,2509,1937,3278,2751,3345,2779,111,1033,51,1921,2843,3310,1854,1968,2447,1443,1277,627,2788,1247,546,1243,1853,215,2476,52,1233,1604,852,1890,2610,753,3199,3258,2084,1548,541,1892,1812,3346,2685,1857,2,1612,1255,1472,2691,1320,2704,848,1664,885,1931,3218,2127,677,766,2280,497,2652,1971,1926,2897,198,2134,1396,3203,2046,1053,2387,2789,1996,3287
9,9,2030,306,1424,2762,1908,3314,454,437,880,1692,1480,3244,1905,2502,1816,3170,3289,446,1535,810,2635,3064,3026,542,967,2812,2608,2829,400,2648,2079,1885,1046,2064,75,507,860,3351,2259,3308,2870,1894,2512,2697,3082,2373,3053,1736,2443,1006,2631,2633,191,188,2029,2837,1621,1488,688,1212,269,2557,451,1515,163,1662,1750,905,2811,1569,2161,267,3198,2295,1048,1428,2176,3032,1958,1495,1934,3038,2858,1852,491,952,2658,678,839,455,2390,1476,2583,903,2585,1869,1801,3195,2028
